team,title,rank,created_date
MEET ME AT THE LAKE,1,Jake,2023-05-10 22:11:23
"MAGNOLIA TABLE, VOL. 3",1,Jake,2023-05-10 22:11:24
THE GLUCOSE GODDESS METHOD,3,Pete,2023-05-10 22:11:24
THE ESCAPE ARTIST,3,Pete,2023-05-10 22:11:25
"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",3,Pete,2023-05-10 22:11:26
LOOK FOR ME THERE,3,Pete,2023-05-10 22:11:27
FOURTH WING,3,Pete,2023-05-17 22:11:22
WARRIOR GIRL UNEARTHED,3,Pete,2023-05-17 22:11:24
THERE ARE MOMS WAY WORSE THAN YOU,3,Pete,2023-05-17 22:11:26
WHY A SON NEEDS A MOM,3,Pete,2023-05-17 22:11:27
A DAY WITH NO WORDS,1,Jake,2023-05-17 22:11:27
THE MAKING OF ANOTHER MAJOR MOTION PICTURE MASTERPIECE,3,Pete,2023-05-17 22:11:28
THE DADDY DIARIES,3,Pete,2023-05-17 22:11:29
ONLY THE DEAD,1,Jake,2023-05-24 22:16:19
PAINTED DEVILS,3,Pete,2023-05-24 22:16:21
QUIETLY HOSTILE,3,Pete,2023-05-24 22:16:24
I WISH YOU MORE,1,Jake,2023-05-24 22:16:24
IDENTITY,1,Jake,2023-05-31 22:20:19
THE COVENANT OF WATER,3,Pete,2023-05-31 22:20:19
THE SHIFT,3,Pete,2023-05-31 22:20:23
THE BOOK OF CHARLIE,3,Pete,2023-05-31 22:20:23
WHY A DAUGHTER NEEDS A DAD,1,Jake,2023-05-31 22:20:25
CRAVE,1,Jake,2023-06-07 22:04:23
GIRLS LIKE GIRLS,1,Jake,2023-06-07 22:04:25
SPARRING PARTNERS,1,Jake,2023-06-07 23:09:03
CLIVE CUSSLER'S DARK VECTOR,3,Pete,2023-06-07 23:09:03
RESTART,3,Pete,2023-06-07 23:09:05
"I WILL TEACH YOU TO BE RICH, SECOND EDITION",3,Pete,2023-06-07 23:09:08
GREENLIGHTS,3,Pete,2023-06-07 23:09:10
GRIME AND PUNISHMENT,3,Pete,2023-06-07 23:09:13
THE SUMMER I TURNED PRETTY TRILOGY,1,Jake,2023-06-14 22:10:21
ICEBREAKER,3,Pete,2023-06-14 22:10:23
PAGEBOY,1,Jake,2023-06-14 22:10:24
I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,3,Pete,2023-06-14 22:10:26
CROSS DOWN,1,Jake,2023-06-14 22:10:26
THE FIVE-STAR WEEKEND,1,Jake,2023-06-21 22:14:20
"CATCH A CRAYFISH, COUNT THE STARS",1,Jake,2023-06-21 22:14:21
"LOVE, THEORETICALLY",1,Jake,2023-06-21 22:14:22
THE IN-BETWEEN,3,Pete,2023-06-21 22:14:27
1964,3,Pete,2023-06-28 22:18:23
CAN'T HURT ME,3,Pete,2023-06-28 22:18:24
TOO LATE,1,Jake,2023-07-05 22:02:21
OUT OF MY MIND,1,Jake,2023-07-05 23:06:01
FGTEEV: OUT OF TIME!,3,Pete,2023-07-05 23:06:06
APPLES NEVER FALL,3,Pete,2023-07-05 23:06:16
HOW TO CATCH A UNICORN,3,Pete,2023-07-12 22:06:27
BEYOND THE STORY,1,Jake,2023-07-19 22:10:21
AMERICAN PROMETHEUS,3,Pete,2023-07-19 22:10:23
THE SKULL,1,Jake,2023-07-19 22:10:23
OBSESSED,3,Pete,2023-07-19 22:10:24
DIVINE RIVALS,1,Jake,2023-07-26 22:14:20
THE CRAYONS GO BACK TO SCHOOL,1,Jake,2023-07-26 22:14:24
THE COLLECTOR,1,Jake,2023-07-26 22:14:24
JACKIE,3,Pete,2023-07-26 22:14:25
DEAD FALL,3,Pete,2023-08-02 22:20:22
HOUSE OF ROOTS AND RUIN,1,Jake,2023-08-02 22:20:24
BAKING YESTERYEAR,1,Jake,2023-08-02 22:20:26
"TIME FOR SCHOOL, LITTLE BLUE TRUCK",3,Pete,2023-08-02 22:20:27
LIGHT BRINGER,3,Pete,2023-08-02 22:20:28
NO PLAN B,1,Jake,2023-08-02 23:00:05
A LONG WALK TO WATER,1,Jake,2023-08-02 23:00:10
KAREN'S HAIRCUT,3,Pete,2023-08-02 23:00:17
TOM LAKE,1,Jake,2023-08-09 22:20:29
OUT OF NOWHERE,3,Pete,2023-08-09 22:20:29
THE HEAVEN & EARTH GROCERY STORE,3,Pete,2023-08-16 22:20:22
HAPPINESS,3,Pete,2023-08-16 22:20:28
"RED, WHITE AND ROYAL BLUE",3,Pete,2023-08-23 22:20:27
DEAD MOUNTAIN,3,Pete,2023-08-30 22:20:24
FOXGLOVE,1,Jake,2023-08-30 22:20:25
THE HOUSEMAID,3,Pete,2023-08-30 22:20:26
SAFE AND SOUND,1,Jake,2023-08-30 22:20:28
THE PIGEON HAS TO GO TO SCHOOL!,3,Pete,2023-08-30 22:20:29
THE INHERITANCE GAMES,1,Jake,2023-09-06 22:20:38
ASSISTANT TO THE VILLAIN,1,Jake,2023-09-06 22:20:41
VINCE FLYNN: OATH OF LOYALTY,3,Pete,2023-09-06 23:00:14
GAMBLER,3,Pete,2023-09-06 23:00:26
"JUJUTSU KAISEN, VOL. 20",3,Pete,2023-09-06 23:00:35
HOLLY,1,Jake,2023-09-13 22:20:24
PAYBACK IN DEATH,3,Pete,2023-09-13 22:20:24
THIS WINTER,1,Jake,2023-09-13 22:20:26
THINGS WE LEFT BEHIND,1,Jake,2023-09-13 22:20:26
NECESSARY TROUBLE,3,Pete,2023-09-13 22:20:27
THE JOSIAH MANIFESTO,3,Pete,2023-09-13 22:20:28
DON'T LET THE PIGEON DRIVE THE SLEIGH!,1,Jake,2023-09-13 22:20:29
GRUMPY MONKEY DON'T BE SCARED,3,Pete,2023-09-13 22:20:29
VINCE FLYNN: CODE RED,3,Pete,2023-09-20 22:20:21
A HORSE NAMED SKY,3,Pete,2023-09-20 22:20:23
THE SPIRIT BARES ITS TEETH,3,Pete,2023-09-20 22:20:23
BUILD THE LIFE YOU WANT,1,Jake,2023-09-20 22:20:25
THE WORLD CENTRAL KITCHEN COOKBOOK,3,Pete,2023-09-20 22:20:25
ELON MUSK,1,Jake,2023-09-20 22:20:25
JUST BECAUSE,1,Jake,2023-09-20 22:20:27
THE LAST DEVIL TO DIE,3,Pete,2023-09-27 22:20:21
THE OFFICIAL HARRY POTTER COOKBOOK,3,Pete,2023-09-27 22:20:23
A STUDY IN DROWNING,1,Jake,2023-09-27 22:20:23
ASTOR,3,Pete,2023-09-27 22:20:24
THE DEMOCRAT PARTY HATES AMERICA,1,Jake,2023-09-27 22:20:24
THE ARMOR OF LIGHT,3,Pete,2023-10-04 22:20:20
WRECKER,1,Jake,2023-10-04 22:20:21
PERCY JACKSON & THE OLYMPIANS,1,Jake,2023-10-04 22:20:21
